step	time	T	Ekin	res	lj	lj-tab	bond_125_cross	bond_124_cross	bond_124	angle_253_cross	angle_252_cross	angle_252	dihedral_190_cross	dihedral_190	dihedral_191_cross	lj-14_1	lj-14_0	lj-14_1_cross
0	0	0.87861	12355.5	0	2765.48	2765.48	3273.93	0	0	4907.75	0	nan	0	-nan	1683.13	-nan	8.45807e-293	0
1000	1	3.54877	49904.5	0	2880.64	2880.64	3384.61	0	9943.94	5069.77	0	7761.64	0	19784	1826.18	5376.97	427.111	0
2000	2	3.53713	49740.9	0	3172.6	3172.6	3343.59	0	10572	5202.72	0	7492.48	0	19446.8	1907.36	5633.77	377.908	0
3000	3	3.55493	49991.2	0	3078.11	3078.11	3605.15	0	10007.5	5209.24	0	7454.78	0	19505.9	1906.98	5456.8	444.092	0
4000	4	3.55144	49942.1	0	3094.31	3094.31	3364.93	0	10057.1	5325.64	0	7300.01	0	19725.3	1916.63	5368.54	418.966	0
5000	5	3.55461	49986.8	0	3098	3098	3266.62	0	10535.1	5294.44	0	7328.05	0	19717.1	1887.91	5374.8	439.839	0
5001	5.001	3.54821	49896.7	0	3095.57	3095.57	3266.26	0	10584.4	5295.2	0	7348.35	0	19717.8	1888.1	5369.26	437.816	0
5002	5.002	3.51908	49487	4e-05	4802.31	3095.47	3266.24	0.0439474	10601.6	5295.8	0.00129911	7373.13	0.000107191	19717.4	1888.18	5362.67	436.282	0.09845
5003	5.003	4.59921	64676.5	8e-05	3217.29	3095.67	3265.88	0.175753	10768.8	5296.31	0.00519402	7393.11	0.000428747	19715.4	1888.4	5377.67	435.173	0.379368
5004	5.004	4.57164	64288.6	0.00012	3208.12	3114.87	3265.59	0.395356	11166.4	5296.7	0.0116802	7421.42	0.000964921	19713.2	1888.59	5411.14	434.542	0.831426
5005	5.005	4.51377	63474.8	0.00016	3237.75	3116.07	3265.64	0.702712	11670.1	5297.03	0.0207525	7470.92	0.00171609	19711.4	1888.62	5472.13	433.849	1.45561
5006	5.006	4.4479	62548.6	0.0002	3269.58	3117.57	3266.07	1.09777	12057.1	5297.15	0.0324076	7556.65	0.00268274	19713.5	1888.7	5574.91	433.352	2.23576
5007	5.007	4.38611	61679.7	0.00024	3295.27	3118.35	3267.22	1.58051	12135.7	5297.33	0.0466452	7669.35	0.00386509	19722.3	1888.83	5782.66	432.62	3.15592
5008	5.008	4.34286	61071.4	0.00028	3316.02	3118.73	3269.43	2.15089	11867.1	5297.33	0.0634651	7785.03	0.00526215	19727	1888.88	6302.83	432.406	4.19398
5009	5.009	4.28093	60200.6	0.00032	3335.58	3119.79	3273.27	2.80893	11386.5	5297.38	0.082862	7877.21	0.00687546	19723.5	1888.89	7276.35	432.082	5.35013
5010	5.01	4.23568	59564.3	0.00036	3355.53	3124.19	3279.04	3.55478	10910.5	5297.56	0.104834	7926.9	0.00870426	19720.2	1888.91	7217.56	431.62	6.62763
5011	5.011	4.30748	60573.9	0.0004	3369.72	3126.07	3288.01	4.38855	10617.3	5298.01	0.129385	7948.54	0.0107485	19718.3	1888.84	6223.36	431.317	7.98603
5012	5.012	4.36409	61370	0.00044	3376.93	3124.49	3301.43	5.31033	10588.7	5298.72	0.156516	7964.07	0.0130071	19717.5	1889.09	5715.79	431.167	9.36528
5013	5.013	4.36333	61359.4	0.00048	3385.49	3126.51	3324.52	6.32009	10842.4	5299.73	0.186226	7971.06	0.0154779	19717.7	1889.2	5543.79	430.804	10.7476
5014	5.014	4.31911	60737.5	0.00052	3390.88	3128.1	3349.31	7.41798	11336.2	5300.91	0.218516	7976.07	0.0181619	19717.7	1889.35	5493.73	430.25	12.1435
5015	5.015	4.26392	59961.3	0.00056	3393.58	3129.7	3377.03	8.60396	11992.1	5302.05	0.253394	7969.77	0.0210603	19717.4	1889.39	5484.66	429.45	13.4017
5016	5.016	4.18301	58823.6	0.0006	3397.14	3131.63	3407.53	9.87813	12706.4	5303.29	0.29086	7957.13	0.0241748	19716.3	1889.77	5487.75	428.599	14.7091
5017	5.017	4.0951	57587.4	0.00064	3401.2	3133.85	3440.9	11.2404	13369.4	5304.65	0.330917	7927.32	0.0275052	19715.4	1889.85	5492.62	428.051	15.9189
5018	5.018	4.03773	56780.5	0.00068	3405.09	3135.49	3476.65	12.6909	13886.6	5305.74	0.373561	7880.55	0.031072	19714.5	1889.98	5496.69	427.897	17.041
