step	time	T	Ekin	res	lj	lj-tab	bond_125_cross	bond_124_cross	bond_124	angle_253_cross	angle_252_cross	angle_252	dihedral_190_cross	dihedral_190	dihedral_191_cross	lj-14_1	lj-14_0	lj-14_1_cross
0	0	0.87861	12355.5	0	2765.48	2765.48	3273.93	0	0	4907.75	0	nan	0	-nan	1683.13	-nan	8.45807e-293	0
1000	1	3.76621	52962.3	0	3017.11	3017.11	3318.1	0	10954.7	5136.85	0	7571.14	0	19850.5	1884.35	5963.95	510.988	0
2000	2	3.5774	50307.1	0	3134.8	3134.8	3428.92	0	10290.6	5197.58	0	7700.15	0	19858.3	1912.44	5216.29	451.388	0
3000	3	3.59811	50598.4	0	3063.03	3063.03	3545.43	0	9995.79	5313.64	0	7416.91	0	19558.5	1933.53	5563.07	401.712	0
4000	4	3.56352	50111.9	0	3179.9	3179.9	3389.54	0	10088.6	5352.82	0	7265.59	0	19921.4	1887.41	5251.51	423.644	0
5000	5	3.54605	49866.4	0	3110.34	3110.34	3286.3	0	10396.2	5371.66	0	7421.82	0	20003.8	1910.28	5117.41	409.94	0
5001	5.001	3.54636	49870.7	0	3110.34	3110.34	3288.09	0	10393.4	5372.7	0	7415.29	0	20005.6	1910.13	5116.94	407.927	0
5002	5.002	3.54212	49811.1	5e-05	11769.3	3110.63	3290.1	0.0686035	10390.9	5374.1	0.00205689	7407.11	0.000167964	20007	1909.93	5117.35	406.446	0.0960881
5003	5.003	37.166	522647	0.0001	3991.61	3125.96	3306.9	0.274493	15840.4	5376.45	0.0082247	7418.8	0.000672072	20008.8	1910.71	5115.11	405.196	0.428569
5004	5.004	35.8644	504343	0.00015	4027.5	3132.04	3317.63	0.61799	33243.6	5380.38	0.0185053	7448.13	0.00151238	20010.3	1911.65	5117.22	404.469	1.09524
5005	5.005	33.5685	472058	0.0002	3933.48	3143.61	3308.91	1.09972	60596.6	5386.21	0.0329	7463.6	0.0026882	20010.7	1912.43	5123.05	404.165	2.22695
5006	5.006	30.5874	430135	0.00025	3846.25	3165.29	3295.31	1.72053	93854.2	5392.48	0.0514095	7477.29	0.00419969	20009.7	1912.92	5131.5	404.151	4.00598
5007	5.007	27.2904	383771	0.0003	1.01962e+07	3197.46	3300.89	2.48135	128059	5398.05	0.0740312	7502.04	0.00604711	20007.9	1913.37	5143.24	404.301	6.46926
